Name,Party,gid
Lord Rogan,Ulster Unionist Party,brazil
Mark Pritchard,Conservative,bulgaria
Lord Harrison,Labour,bulgaria
Sir Kevin Barron,Labour,bulgaria
Lord Jones of Cheltenham,Liberal Democrat,bulgaria
Lord Dubs,Labour,bulgaria
Rushanara Ali,Labour,burma
Baroness Kinnock of Holyhead,Labour,burma
Paul Scully,Conservative,burma
Sir Peter Bottomley,Conservative,burma
Lord Alton of Liverpool,Crossbench,burma
Ann Clwyd,Labour,cambodia
Lord Griffiths of Burry Port,Labour,cambodia
Karen Lumley,Conservative,cambodia
Lord Kilclooney,Crossbench,cambodia
Nic Dakin,Labour,cambodia
Andrew Rosindell,Conservative,canada
John Howell,Conservative,canada
Lord Purvis of Tweed,Liberal Democrat,canada
Mr Roger Godsiff,Labour,canada
Lord Balfe,Conservative,canada
Lord Foulkes of Cumnock,Labour,canada
Helen Jones,Labour,canada
Chris Law,Scottish National Party,canada
Lord Faulkner of Worcester,Labour,canada
Helen Jones,Labour,canada
Geoffrey Clifton-Brown,Conservative,caribbean
Ms Diane Abbott,Labour,caribbean
Lord Foulkes of Cumnock,Labour,caribbean
Sir Henry Bellingham,Conservative,caribbean
Mr David Lammy,Labour,caribbean
David Morris,Conservative,caribbean
Kate Hoey,Labour,caribbean
Angus Brendan MacNeil,Scottish National Party,caribbean
Ian Paisley,Democratic Unionist Party,caribbean
Baroness Benjamin,Liberal Democrat,caribbean
Sir David Amess,Conservative,caribbean
Dawn Butler,Labour,caribbean
Baroness Howells of St Davids,Labour,caribbean
Andrew Rosindell,Conservative,caribbean
Mark Menzies,Conservative,caribbean
George Kerevan,Scottish National Party,catalonia
Douglas Chapman,Scottish National Party,catalonia
Andrew Rosindell,Conservative,catalonia
Ms Margaret Ritchie,Social Democratic & Labour Party,catalonia
Mr Roger Godsiff,Labour,catalonia
Lord Rennard,Liberal Democrat,catalonia
Chris Law,Scottish National Party,catalonia
Lord Wigley,Plaid Cymru,catalonia
Margaret Ferrier,Scottish National Party,catalonia
Mr Graham Brady,Conservative,cayman-islands
Angus Brendan MacNeil,Scottish National Party,cayman-islands
Catherine West,Labour,cayman-islands
Jeff Smith,Labour,cayman-islands
Andrew Rosindell,Conservative,central-american
Baroness Hooper,Conservative,central-american
Lord Kilclooney,Crossbench,central-american
Lord Foulkes of Cumnock,Labour,central-american
Andrew Rosindell,Conservative,chagos
Henry Smith,Conservative,chagos
Dr Paul Monaghan,Scottish National Party,chagos
Baroness Whitaker,Labour,chagos
Lord Steel of Aikwood,Liberal Democrat,chagos
Lord Ramsbotham,Crossbench,chagos
Alan Brown,Scottish National Party,chagos
Jeremy Corbyn,Labour,chagos
Andrew Rosindell,Conservative,channel-islands
Dr Alan Whitehead,Labour,channel-islands
Angus Brendan MacNeil,Scottish National Party,channel-islands
Heather Wheeler,Conservative,channel-islands
Robert Neill,Conservative,channel-islands
Lord Faulkner of Worcester,Labour,channel-islands
Lord Kilclooney,Crossbench,channel-islands
Lord McNally,Liberal Democrat,channel-islands
Baroness Pitkeathley,Labour,channel-islands
Dr Lisa Cameron,Scottish National Party,chile
Mark Pritchard,Conservative,chile
Baroness Hooper,Conservative,chile
Rosie Cooper,Labour,chile
Lord Kilclooney,Crossbench,chile
Richard Graham,Conservative,china
John Spellar,Labour,china
Lord Cotter,Liberal Democrat,china
Lord Wei,Conservative,china
Lord Clement-Jones,Liberal Democrat,china
Geoffrey Clifton-Brown,Conservative,china
Mr David Hanson,Labour,china
Alex Salmond,Scottish National Party,china
Lord Steel of Aikwood,Liberal Democrat,china
Mr Nigel Evans,Conservative,china
Mark Garnier,Conservative,china
Mr Roger Godsiff,Labour,china
Mr Mark Hendrick,Labour (Co-op),china
Robert Jenrick,Conservative,china
Angus Brendan MacNeil,Scottish National Party,china
Jason McCartney,Conservative,china
Mrs Madeleine Moon,Labour,china
Catherine West,Labour,china
Iain Stewart,Conservative,china
Julian Sturdy,Conservative,china
Ms Tasmina Ahmed-Sheikh,Scottish National Party,china
Craig Williams,Conservative,china
David Simpson,Democratic Unionist Party,china
Barry Gardiner,Labour,chinese-in-britain
Mr Andrew Mitchell,Conservative,chinese-in-britain
Roger Mullin,Scottish National Party,chinese-in-britain
Clive Efford,Labour,chinese-in-britain
Gill Furniss,Labour,chinese-in-britain
Mr Khalid Mahmood,Labour,chinese-in-britain
Sir Jeffrey M. Donaldson,Democratic Unionist Party,colombia
Glyn Davies,Conservative,colombia
Baroness Hooper,Conservative,colombia
Christian Matheson,Labour,colombia
Mr Ian Liddell-Grainger,Conservative,croatia
Earl of Dundee,Conservative,croatia
Fabian Hamilton,Labour,croatia
Lord Anderson of Swansea,Labour,croatia
Cat Smith,Labour,cuba
Lord Kilclooney,Crossbench,cuba
Baroness Hooper,Conservative,cuba
Angus Brendan MacNeil,Scottish National Party,cuba
George Kerevan,Scottish National Party,cuba
Grahame Morris,Labour,cuba
Sir Roger Gale,Conservative,cyprus
Kate Osamor,Labour (Co-op),cyprus
Mr David Burrowes,Conservative,cyprus
Sir Alan Meale,Labour,cyprus
Sir David Crausby,Labour,cyprus
Dr Matthew Offord,Conservative,cyprus
Mike Freer,Conservative,cyprus
Catherine West,Labour,cyprus
Mr Ian Liddell-Grainger,Conservative,czech-and-slovak
Lord Anderson of Swansea,Labour,czech-and-slovak
Lord Bowness,Conservative,czech-and-slovak
Dr Julian Lewis,Conservative,czech-and-slovak
Helen Jones,Labour,czech-and-slovak
Lord Dubs,Labour,czech-and-slovak
David Rutley,Conservative,denmark
Stephen Kinnock,Labour,denmark
Helen Goodman,Labour,denmark
Lord Teverson,Liberal Democrat,denmark
Andrew Rosindell,Conservative,denmark
Baroness McIntosh of Pickering,Conservative,denmark
Angus Brendan MacNeil,Scottish National Party,denmark
Viscount Craigavon,Crossbench,denmark
Sir Gerald Howarth,Conservative,egypt
John Spellar,Labour,egypt
Lord Marlesford,Conservative,egypt
Lord Alton of Liverpool,Crossbench,egypt
Lord Sheikh,Conservative,egypt
Sir Jeffrey M. Donaldson,Democratic Unionist Party,egypt
Mike Gapes,Labour (Co-op),egypt
Stephen Timms,Labour,egypt
Patrick Grady,Scottish National Party,eritrea
Baroness Kinnock of Holyhead,Labour,eritrea
Jeremy Lefroy,Conservative,eritrea
Ann Clwyd,Labour,eritrea
Gordon Marsden,Labour,estonia
Lord Dykes,Crossbench,estonia
Paul Farrelly,Labour,estonia
Andrew Rosindell,Conservative,estonia
Ian Austin,Labour,estonia
Mr Laurence Robertson,Conservative,ethiopia-and-djibouti
Sir Jeffrey M. Donaldson,Democratic Unionist Party,ethiopia-and-djibouti
Tim Loughton,Conservative,ethiopia-and-djibouti
Mr Stephen Hepburn,Labour,ethiopia-and-djibouti
Lord Chidgey,Liberal Democrat,ethiopia-and-djibouti
Lord Cameron of Dillington,Crossbench,ethiopia-and-djibouti
Mark Pritchard,Conservative,ethiopia-and-djibouti
Derek Twigg,Labour,falkland-islands
Philip Boswell,Scottish National Party,falkland-islands
Sir David Crausby,Labour,falkland-islands
Baroness Hooper,Conservative,falkland-islands
Lord Kilclooney,Crossbench,falkland-islands
Bob Stewart,Conservative,falkland-islands
Andrew Rosindell,Conservative,falkland-islands
Angus Brendan MacNeil,Scottish National Party,faroe-islands
Dr Dan Poulter,Conservative,faroe-islands
Nic Dakin,Labour,faroe-islands
Paul Farrelly,Labour,faroe-islands
Calum Kerr,Scottish National Party,faroe-islands
Alan Brown,Scottish National Party,faroe-islands
Bob Stewart,Conservative,faroe-islands
Mr Ranil Jayawardena,Conservative,finland
Baroness Ramsay of Cartvale,Labour,finland
Angela Smith,Labour,finland
Angus Brendan MacNeil,Scottish National Party,finland
Viscount Craigavon,Crossbench,finland
Sir Edward Leigh,Conservative,france
Robert Neill,Conservative,france
Lord Davies of Stamford,Labour,france
Peter Grant,Scottish National Party,france
Lord Touhig,Labour,france
Lord Anderson of Swansea,Labour,france
Mr Jonathan Djanogly,Conservative,georgia
Lord Haworth,Labour,georgia
Mark Pritchard,Conservative,georgia
Lord Harries of Pentregarth,Crossbench,georgia
Gordon Marsden,Labour,georgia
Paul Farrelly,Labour,germany
Lord Anderson of Swansea,Labour,germany
Lord Dykes,Crossbench,germany
Lord Balfe,Conservative,germany
Lord Davies of Stamford,Labour,germany
Mr Roger Godsiff,Labour,germany
Mark Pritchard,Conservative,germany
Mr Mark Hendrick,Labour (Co-op),germany
David T. C. Davies,Conservative,germany
Jack Lopresti,Conservative,gibraltar
Robert Neill,Conservative,gibraltar
Sir David Crausby,Labour,gibraltar
Bob Stewart,Conservative,gibraltar
Ian Paisley,Democratic Unionist Party,gibraltar
Rosie Cooper,Labour,gibraltar
Andrew Rosindell,Conservative,gibraltar
Andrea Jenkyns,Conservative,gibraltar
Lord Hoyle,Labour,gibraltar
Alberto Costa,Conservative,greece
Sir Alan Meale,Labour,greece
Bob Stewart,Conservative,greece
Mark Pritchard,Conservative,greece
Maria Caulfield,Conservative,greece
Craig Mackinlay,Conservative,greece
Keith Vaz,Labour,greece
Derek Twigg,Labour,greece
Lord Kennedy of Southwark,Labour,greece
Richard Arkless,Scottish National Party,greece
Gavin Newlands,Scottish National Party,greece
John Howell,Conservative,greece
Chris Elmore,Labour,greece
Robert Neill,Conservative,hungary-group
Paul Farrelly,Labour,hungary-group
David T. C. Davies,Conservative,hungary-group
Lord Davies of Stamford,Labour,hungary-group
Craig Mackinlay,Conservative,hungary-group
Mark Pritchard,Conservative,hungary-group
Angus Brendan MacNeil,Scottish National Party,iceland
Viscount Craigavon,Crossbench,iceland
Nic Dakin,Labour,iceland
Diana Johnson,Labour,iceland
Martin Vickers,Conservative,iceland
Dr Paul Monaghan,Scottish National Party,iceland
Bob Stewart,Conservative,iceland
Paul Farrelly,Labour,iceland
Corri Wilson,Scottish National Party,iceland
Mr Virendra Sharma,Labour,india
Bob Blackman,Conservative,india
Baroness Flather,Crossbench,india
Lord Bilimoria,Crossbench,india
Seema Malhotra,Labour (Co-op),india
Lord Balfe,Conservative,india
Lord Sheikh,Conservative,india
Kirsten Oswald,Scottish National Party,india
Valerie Vaz,Labour,india
Yasmin Qureshi,Labour,india
Stephen Pound,Labour,india
Richard Graham,Conservative,indonesia
Lord Clement-Jones,Liberal Democrat,indonesia
Lord Astor of Hever,Conservative,indonesia
Lord Rogan,Ulster Unionist Party,indonesia
Rosie Cooper,Labour,indonesia
Baroness Uddin,Non-affiliated,indonesia
John Spellar,Labour,indonesia
Mark Pritchard,Conservative,indonesia
Mr Richard Bacon,Conservative,iran
Lord Lamont of Lerwick,Conservative,iran
Seema Kennedy,Conservative,iran
Jeremy Corbyn,Labour,iran
Mr John Baron,Conservative,iran
Ms Gisela Stuart,Labour,iran
Ms Tasmina Ahmed-Sheikh,Scottish National Party,iran
Viscount Waverley,Crossbench,iran
Fabian Hamilton,Labour,iran
Lord Anderson of Swansea,Labour,iran
Lord Kilclooney,Crossbench,iran
Lord Ahmed,Non-affiliated,iran
Ann Clwyd,Labour,iraq
Lord Kilclooney,Crossbench,iraq
Mr Pat McFadden,Labour,iraq
Jason McCartney,Conservative,iraq
Conor McGinn,Labour,ireland-and-the-irish-in-britain
Baroness Harris of Richmond,Liberal Democrat,ireland-and-the-irish-in-britain
Maria Caulfield,Conservative,ireland-and-the-irish-in-britain
Martin Docherty-Hughes,Scottish National Party,ireland-and-the-irish-in-britain
Sir Peter Bottomley,Conservative,ireland-and-the-irish-in-britain
Paul Farrelly,Labour,ireland-and-the-irish-in-britain
Conor Burns,Conservative,ireland-and-the-irish-in-britain
Margaret Ferrier,Scottish National Party,ireland-and-the-irish-in-britain
Lord Dubs,Labour,ireland-and-the-irish-in-britain
Ms Margaret Ritchie,Social Democratic & Labour Party,ireland-and-the-irish-in-britain
Andrew Rosindell,Conservative,isle-of-man-manx
Lord Shutt of Greetland,Liberal Democrat,isle-of-man-manx
Lord Bach,Labour,isle-of-man-manx
Angus Brendan MacNeil,Scottish National Party,isle-of-man-manx
Ian Paisley,Democratic Unionist Party,isle-of-man-manx
Lord Kilclooney,Crossbench,isle-of-man-manx
Baroness Harris of Richmond,Liberal Democrat,isle-of-man-manx
Lord Quirk,Crossbench,isle-of-man-manx
Mr Douglas Carswell,Independent,isle-of-man-manx
David Morris,Conservative,isle-of-man-manx
Mrs Louise Ellman,Labour (Co-op),israel
Bob Blackman,Conservative,israel
Mike Freer,Conservative,israel
Dr Matthew Offord,Conservative,israel
Lord Turnberg,Labour,israel
Sir Eric Pickles,Conservative,israel
Joan Ryan,Labour,israel
Lord Palmer of Childs Hill,Liberal Democrat,israel
Sir Edward Leigh,Conservative,italy
Mark Pritchard,Conservative,italy
Lord Dykes,Crossbench,italy
Sir Edward Garnier,Conservative,italy
Robert Flello,Labour,italy
Lord Touhig,Labour,italy
Alberto Costa,Conservative,italy
Paul Farrelly,Labour,italy
Dawn Butler,Labour,jamaica
Mr Nigel Evans,Conservative,jamaica
Mr Khalid Mahmood,Labour,jamaica
Mrs Sharon Hodgson,Labour,jamaica
Baroness King of Bow,Labour,jamaica
John Cryer,Labour,jamaica
Mr Roger Godsiff,Labour,japan
Sir David Amess,Conservative,japan
Judith Cummins,Labour,japan
Dr Lisa Cameron,Scottish National Party,japan
Dr Paul Monaghan,Scottish National Party,japan
Douglas Chapman,Scottish National Party,japan
Viscount Trenchard,Conservative,japan
Paul Farrelly,Labour,japan
Fabian Hamilton,Labour,japan
John Spellar,Labour,japan
Mr Mark Hendrick,Labour (Co-op),japan
Baroness Hooper,Conservative,japan
Steve McCabe,Labour,japan
Mr David Jones,Conservative,jordan
Richard Burden,Labour,jordan
Lord Jordan,Labour,jordan
Lord Kilclooney,Crossbench,jordan
Baroness Nicholson of Winterbourne,Conservative,jordan
Mark Pritchard,Conservative,jordan
Lord Sheikh,Conservative,jordan
Bob Stewart,Conservative,jordan
Lord Dubs,Labour,jordan
Mr David Nuttall,Conservative,kashmir
Lord Ahmed,Non-affiliated,kashmir
Debbie Abrahams,Labour,kashmir
Mr Steve Baker,Conservative,kashmir
Sarah Champion,Labour,kashmir
Mr Stewart Jackson,Conservative,kashmir
Imran Hussain,Labour,kashmir
Lord Hussain,Liberal Democrat,kashmir
Simon Danczuk,Independent,kashmir
Louise Haigh,Labour,kashmir
Chris Leslie,Labour (Co-op),kashmir
Yasmin Qureshi,Labour,kashmir
Ms Gisela Stuart,Labour,kazakhstan
Lord Astor of Hever,Conservative,kazakhstan
Lord Kilclooney,Crossbench,kazakhstan
Lord Sheikh,Conservative,kazakhstan
Bob Stewart,Conservative,kazakhstan
Sir William Cash,Conservative,kenya
Lord Sheikh,Conservative,kenya
Lord Steel of Aikwood,Liberal Democrat,kenya
Mark Pritchard,Conservative,kenya
Kelvin Hopkins,Labour,kenya
James Berry,Conservative,korea
Mike Gapes,Labour (Co-op),korea
Mr Jacob Rees-Mogg,Conservative,korea
Mark Pritchard,Conservative,korea
Lord Dholakia,Liberal Democrat,korea
Paul Farrelly,Labour,korea
Sir Peter Bottomley,Conservative,korea
William Wragg,Conservative,korea
Mr Edward Vaizey,Conservative,korea
Stuart Blair Donaldson,Scottish National Party,korea
Lilian Greenwood,Labour,korea
Catherine McKinnell,Labour,korea
Imran Hussain,Labour,kosovo
Martin Vickers,Conservative,kosovo
Sir David Amess,Conservative,kosovo
Angela Smith,Labour,kosovo
Henry Smith,Conservative,kurdistan-region-in-iraq
Jason McCartney,Conservative,kurdistan-region-in-iraq
Nadhim Zahawi,Conservative,kurdistan-region-in-iraq
Mike Gapes,Labour (Co-op),kurdistan-region-in-iraq
Lord Clement-Jones,Liberal Democrat,kurdistan-region-in-iraq
Mary Glindon,Labour,kurdistan-region-in-iraq
Lord Glasman,Labour,kurdistan-region-in-iraq
Bob Stewart,Conservative,kurdistan-region-in-iraq
Stephen Metcalfe,Conservative,kurdistan-region-in-iraq
Baroness Hodgson of Abinger,Conservative,kurdistan-region-in-iraq
Ian Austin,Labour,kurdistan-region-in-iraq
Mr Stephen Hepburn,Labour,kurdistan-region-in-iraq
Rebecca Harris,Conservative,kuwait
Mr Khalid Mahmood,Labour,kuwait
Baroness Uddin,Non-affiliated,kuwait
Mr Alistair Carmichael,Liberal Democrat,kuwait
Mark Menzies,Conservative,latin-america
Mark Pritchard,Conservative,latin-america
Lord Rowe-Beddoe,Crossbench,latin-america
Baroness Royall of Blaisdon,Labour,latin-america
David Morris,Conservative,latin-america
Angus Brendan MacNeil,Scottish National Party,latin-america
Mr Nigel Evans,Conservative,latin-america
Lord Kilclooney,Crossbench,latin-america
Baroness Hooper,Conservative,latin-america
Karen Lumley,Conservative,latvia
Mark Pritchard,Conservative,latvia
Gordon Marsden,Labour,latvia
Lord Bowness,Conservative,latvia
Andrew Rosindell,Conservative,liechtenstein
Lord Kilclooney,Crossbench,liechtenstein
Lord Temple-Morris,Labour,liechtenstein
Lady Hermon,Independent,liechtenstein
Fabian Hamilton,Labour,liechtenstein
Angus Brendan MacNeil,Scottish National Party,liechtenstein
Mark Menzies,Conservative,liechtenstein
Sir Edward Garnier,Conservative,liechtenstein
Mark Pritchard,Conservative,lithuania
Graham Stuart,Conservative,lithuania
Stephen Pound,Labour,lithuania
Lord Bowness,Conservative,lithuania
Iain Stewart,Conservative,lithuania
Karen Lumley,Conservative,macedonia
Peter Grant,Scottish National Party,macedonia
Mr Clive Betts,Labour,macedonia
Bob Stewart,Conservative,macedonia
Mark Pritchard,Conservative,macedonia
Sir William Cash,Conservative,malaysia
Ann Clwyd,Labour,malaysia
Lord Rogan,Ulster Unionist Party,malaysia
Lord Sheikh,Conservative,malaysia
Mr Bernard Jenkin,Conservative,malaysia
Sir David Amess,Conservative,maldives
Ian Paisley,Democratic Unionist Party,maldives
Lord German,Liberal Democrat,maldives
Rosie Cooper,Labour,maldives
Lord Alton of Liverpool,Crossbench,maldives
Mark Pritchard,Conservative,maldives
Lord Truscott,Independent Labour,maldives
Christian Matheson,Labour,mexico
Baroness Hooper,Conservative,mexico
Baroness Bonham-Carter of Yarnbury,Liberal Democrat,mexico
Mr Jonathan Djanogly,Conservative,mexico
Roger Mullin,Scottish National Party,mexico
Adam Holloway,Conservative,mexico
Mr John Whittingdale,Conservative,moldova
Lord Dubs,Labour,moldova
Lord German,Liberal Democrat,moldova
Lord Bowness,Conservative,moldova
Paul Farrelly,Labour,moldova
Baroness Nicholson of Winterbourne,Conservative,moldova
Wayne David,Labour,moldova
James Gray,Conservative,mongolia
Lord Bowness,Conservative,mongolia
John Mann,Labour,mongolia
Andrew Rosindell,Conservative,mongolia
Lord Kilclooney,Crossbench,mongolia
Baroness Hooper,Conservative,mongolia
Andrew Rosindell,Conservative,montserrat
Mr Graham Brady,Conservative,montserrat
Lord Jones of Cheltenham,Liberal Democrat,montserrat
Lord Balfe,Conservative,montserrat
Baroness Hooper,Conservative,montserrat
Mr Nigel Dodds,Democratic Unionist Party,montserrat
Angus Brendan MacNeil,Scottish National Party,montserrat
Mr Stephen Hepburn,Labour,montserrat
Mrs Sheryll Murray,Conservative,montserrat
Mr Ian Liddell-Grainger,Conservative,morocco
Fabian Hamilton,Labour,morocco
Dr Andrew Murrison,Conservative,morocco
Lord Harrison,Labour,morocco
Lord Kilclooney,Crossbench,morocco
Baroness Suttie,Liberal Democrat,morocco
Daniel Kawczynski,Conservative,morocco
Lord Anderson of Swansea,Labour,morocco
Mr Nigel Evans,Conservative,morocco
Mr Roger Godsiff,Labour,mozambique
Lord Hughes of Woodside,Labour,mozambique
Baroness Chalker of Wallasey,Conservative,mozambique
Kerry McCarthy,Labour,mozambique
Lord Steel of Aikwood,Liberal Democrat,mozambique
Lord Oates,Liberal Democrat,mozambique
Chi Onwurah,Labour,mozambique
Mr Virendra Sharma,Labour,nepal
Earl of Sandwich,Crossbench,nepal
Bob Blackman,Conservative,nepal
Lord Bilimoria,Crossbench,nepal
Seema Malhotra,Labour (Co-op),nepal
Lord Sheikh,Conservative,nepal
Mark Pritchard,Conservative,nepal
Stephen Pound,Labour,nepal
Mr Clive Betts,Labour,netherlands
Lord Temple-Morris,Labour,netherlands
Lord Harrison,Labour,netherlands
Sir Edward Garnier,Conservative,netherlands
Lord Anderson of Swansea,Labour,netherlands
Ian Blackford,Scottish National Party,netherlands
Kate Osamor,Labour (Co-op),nigeria
Chi Onwurah,Labour,nigeria
Richard Fuller,Conservative,nigeria
Mr Laurence Robertson,Conservative,nigeria
Paula Sherriff,Labour,norfolk-island
Andrew Rosindell,Conservative,norfolk-island
Daniel Kawczynski,Conservative,norfolk-island
Angus Brendan MacNeil,Scottish National Party,norfolk-island
Ian Paisley,Democratic Unionist Party,norfolk-island
Lord West of Spithead,Labour,norfolk-island
Baroness Hooper,Conservative,norfolk-island
Lord Kilclooney,Crossbench,norfolk-island
Sir Henry Bellingham,Conservative,norfolk-island
Fiona Bruce,Conservative,north-korea
Lord Alton of Liverpool,Crossbench,north-korea
Geoffrey Clifton-Brown,Conservative,north-korea
Baroness Cox,Crossbench,north-korea
Mr Gary Streeter,Conservative,north-korea
Lord German,Liberal Democrat,north-korea
Andrew Selous,Conservative,north-korea
Lord Clarke of Hampstead,Labour,north-korea
Sir David Amess,Conservative,north-korea
Mark Pritchard,Conservative,north-korea
Baroness Berridge,Conservative,north-korea
Paul Farrelly,Labour,norway
Lord Elton,Conservative,norway
Viscount Craigavon,Crossbench,norway
Kelvin Hopkins,Labour,norway
Lord Anderson of Swansea,Labour,norway
Lord Faulkner of Worcester,Labour,norway
Angus Brendan MacNeil,Scottish National Party,norway
Kate Hoey,Labour,oman
Edward Argar,Conservative,oman
Dr Phillip Lee,Conservative,oman
Mrs Flick Drummond,Conservative,oman
Andrew Rosindell,Conservative,overseas-territories
Neil Carmichael,Conservative,overseas-territories
Derek Twigg,Labour,overseas-territories
Baroness Hooper,Conservative,overseas-territories
Lord Balfe,Conservative,overseas-territories
Lord Jones of Cheltenham,Liberal Democrat,overseas-territories
Fiona Mactaggart,Labour,overseas-territories
Mr Graham Brady,Conservative,overseas-territories
Lord Kilclooney,Crossbench,overseas-territories
