Title,Purpose,Category,gid
All-Party Parliamentary Group on Belarus,To develop relationships with parliamentarians in Belarus; to strengthen links between our two countries; and to improve awareness of developments in Belarus.,Country Group,belarus
All-Party Parliamentary Group for Belize,To increase parliamentarians knowledge of Belize and to improve their understanding of its problems.,Country Group,belize
All-Party Parliamentary Group for Bosnia and Herzegovina,"To further each government's understanding of the other, facilitate good bilateral relations between our countries and promote better political, cultural and historical awareness of the region.",Country Group,bosnia-and-herzegovina
All-Party Parliamentary Group on Botswana,"To improve understanding of Botswana among UK parliamentarians, provide a forum for discussion, and improve the links between the UK and Botswana.",Country Group,botswana
British-Brazilian All-Party Parliamentary Group,"To establish and maintain contact between Members of both Houses of the UK Parliament and Members of the Congresso Nacional do Brasil, including meeting Brazilian parliamentarians visiting the UK to study and discuss matters of mutual interest.",Country Group,brazil
British-Bulgaria All-Party Parliamentary Group,"To promote parliamentary diplomacy, dialogue and contact between Britain and Bulgaria.",Country Group,bulgaria
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Country Group,burma
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country Group,cambodia
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country Group,canada
British-Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Country Group,caribbean
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep MPs and peers abreast of the on-going debates and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Country Group,catalonia
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Country Group,cayman-islands
British-Central American All-Party Parliamentary Group,To promote interest in and relations with the sovereign states in Central America and the Parliament of the UK.,Country Group,central-american
Chagos Islands All-Party Parliamentary Group,To help bring about a resolution of the issues concerning the future of the Chagos Islands (British Indian Ocean Territory) and the Chagossians.,Country Group,chagos
All-Party Parliamentary Channel Islands Group,To promote a better understanding of the issues facing the Channel Islands and develop better relations between the UK and the Channel Islands.,Country Group,channel-islands
All-Party Parliamentary Group for Chile,To foster good relations between parliamentarians from the UK and Chile and to increase knowledge and understanding of Chile.,Country Group,chile
All-Party Parliamentary China Group,"To ensure parliamentarians are kept well informed on China, and to act as a platform for discussions on all issues of importance to the UK-China relationship.",Country Group,china
All-Party Parliamentary Chinese in Britain Group,To promote the integration of the British Chinese into UK society and their representation and participation in the UK democratic process.,Country Group,chinese-in-britain
All-Party Parliamentary Group on Colombia,"To promote interest in, relations with and links to Colombia. To strengthen and advance relations between our two nations.",Country Group,colombia
All-Party Parliamentary Group for Croatia,"To raise awareness of Croatia among British parliamentarians for the purpose of enhancing mutual understanding of each country's economic, social, cultural and political life; and to arrange visits of parliamentarians.",Country Group,croatia
All-Party Parliamentary Group for Cuba,To encourage links with parliamentarians in Cuba and foster understanding of developments in Cuba amongst parliamentarians in the UK.,Country Group,cuba
All-Party Parliamentary Group for Cyprus,To promote relationships between the UK and the Republic of Cyprus and their elected parliamentarians and people.,Country Group,cyprus
Czech and Slovak All-Party Parliamentary Group,"To foster good relations between the two Republics and the UK, particularly between the three Parliaments and their embassies.",Country Group,czech-and-slovak
British-Danish All-Party Parliamentary Group,"To promote relations between Britain and Denmark, their parliaments and people.",Country Group,denmark
All-Party Parliamentary Group on Egypt,To strengthen relations between British and Egyptian parliamentarians and promote British-Egyptian relations amongst both chambers of the UK Parliament.,Country Group,egypt
All-Party Parliamentary Group on Eritrea,"To raise awareness of the human rights abuses that are taking place in Eritrea; to examine and debate how the human rights situation in the country might be approved; and to raise matters of concern with, and make representations to, government and other policy makers.",Country Group,eritrea
Estonia All-Party Parliamentary Group,To promote good relations between Britain and Estonia and specifically to facilitate contact between parliamentarians and other representative bodies in both countries.,Country Group,estonia
All-Party Parliamentary Group on Ethiopia and Djibouti,"To promote knowledge of, and interest in, Ethiopia and Djibouti within Parliament and maintain good relations with those countries.",Country Group,ethiopia-and-djibouti
Falkland Islands All-Party Parliamentary Group,"To support the Falkland Islanders' right to self-determination, maintain a strong link between Parliament and the Falkland Islands, and to support the Falkland Islands and their economic development.",Country Group,falkland-islands
All-Party Parliamentary Group on Faroe Islands,To foster good relations and cultural exchange with the people of the Faroes.,Country Group,faroe-islands
British-Finnish All-Party Parliamentary Group,"To promote relations between Britain and Finland, their parliaments and people.",Country Group,finland
All-Party Parliamentary Group on France,To foster good relations between both Houses of Parliament and the Assemblée National and Sénat in Paris.,Country Group,france
All-Party Parliamentary Group on Georgia,To facilitate greater parliamentary awareness on developments in Georgia.,Country Group,georgia
All-Party Parliamentary British-German Group,To promote mutual understanding and good relations between the UK and Germany and to facilitate meetings and contacts between parliamentarians of both countries.,Country Group,germany
All-Party Parliamentary Group for Gibraltar,"To represent the views of the people of Gibraltar in Parliament and work with the Government of Gibraltar, political parties and interests groups.",Country Group,gibraltar
All-Party Parliamentary Group for Greece,Furthering relations between the British parliament and the Greek parliament and all related activities to enhance the relationship between the UK and Greece.,Country Group,greece
All-Party Parliamentary Hungary Group,To foster good relations between both countries.,Country Group,hungary-group
All-Party Parliamentary Group for Iceland,To maintain good relations between the Icelandic and British Parliaments.,Country Group,iceland
Indo-British All-Party Parliamentary Group,To promote understanding and co-operation between Indian and British parliamentarians and peoples.,Country Group,india
Indonesia All-Party Parliamentary Group,To promote interest in and understanding of Indonesia among parliamentarians and to be a platform of debate on all issues of mutual interest.,Country Group,indonesia
All-Party Parliamentary Group for Iran,To foster good relations with the Islamic Republic of Iran.,Country Group,iran
British-Iraq All-Party Parliamentary Group,To promote friendship and understanding between the people of Iraq and the UK.,Country Group,iraq
All-Party Parliamentary Group on Ireland and the Irish in Britain,"To promote good relations between Ireland and the UK, foster understanding of issues affecting the British-Irish relationship; celebrate links between both countries and their peoples; and represent and raise issues affecting the Irish community in Britain.",Country Group,ireland-and-the-irish-in-britain
United Kingdom-Isle of Man (Manx) All-Party Parliamentary Group,To promote and foster good relations and co-operation between the Isle of Man and the United Kingdom.,Country Group,isle-of-man-manx
All-Party Britain-Israel Parliamentary Group,To create a better understanding of Israel and to foster and promote links between Britain and Israel.,Country Group,israel
All-Party Parliamentary Group on Italy,To foster good relations with the Italian Parliament.,Country Group,italy
All-Party Parliamentary Group for Jamaica,To promote the country of Jamaica.,Country Group,jamaica
All-Party Parliamentary Group on Japan,"To develop and improve the links between the British and Japanese parliaments, and the business, diplomatic and cultural links between the two countries.",Country Group,japan
All-Party Parliamentary Jordan Group,To promote interest in and knowledge of Jordan and to establish contacts between parliamentarians of the two countries.,Country Group,jordan
All-Party Parliamentary Kashmir Group,To support the right of self-determination of the Kashmiri people through dialogue; to seek support from British parliamentarians; to highlight the abuses of human rights in Kashmir; and to seek justice for the people.,Country Group,kashmir
All-Party Parliamentary Group for Kazakhstan,To further understanding in the UK about Kazakhstan and build the bilateral relationship between Kazakhstan and the UK.,Country Group,kazakhstan
All-Party Parliamentary Kenya Group,To monitor issues regarding Kenya.,Country Group,kenya
All-Party Britain-Republic of Korea Parliamentary Group,"To increase the understanding of British parliamentarians of Korea, its politics, policies and people.",Country Group,korea
All-Party Parliamentary Group on Kosovo,"To promote dialogue and understanding between the UK and Kosovo Parliament, build relationships with the Council of Europe and promote Kosovo as a place to invest.",Country Group,kosovo
All-Party Parliamentary Group on the Kurdistan Region in Iraq,To promote friendship and understanding between the peoples of the Kurdistan Region in Iraq and the UK and to encourage the development of democratic institutions in the Kurdistan Region as part of the democratic and federal process in the rest of Iraq.,Country Group,kurdistan-region-in-iraq
All-Party Parliamentary Group on Kuwait,To foster good relations with Kuwait and to build a greater understanding in Parliament of Kuwait and its role in the Middle East region.,Country Group,kuwait
All-Party Parliamentary British-Latin America Group,To foster good relations between parliamentarians from Britain and parliamentarians from Latin American countries.,Country Group,latin-america
All-Party Parliamentary Group for Latvia,To promote political and cultural relations between the UK and Latvia and further each government's understanding of the other.,Country Group,latvia
British-Liechtenstein All-Party Parliamentary Group,To foster good relations between parliamentarians of both countries and better mutual understanding of each.,Country Group,liechtenstein
Lithuania All-Party Parliamentary Group,"To promote relations between the UK and Lithuania, their parliaments and people.",Country Group,lithuania
All-Party Parliamentary Group for Macedonia,To promote political and cultural relations between the UK and Macedonia and further each government's understanding of the other.,Country Group,macedonia
All-Party Parliamentary Group for Malaysia,To further relations between Malaysia and the UK Parliament,Country Group,malaysia
All-Party British-Maldives Parliamentary Group,"To raise awareness of key issues in the Maldives including environmental, educational, political and social issues and problems facing the country.",Country Group,maldives
All-Party Parliamentary Group on Mexico,"To keep Mexico on the political agenda of the UK parliament and to strengthen the relationship in a number of different ways, including human rights, democracy, good governance and economic development.",Country Group,mexico
All-Party Parliamentary Group on Moldova,To develop relationships with parliamentarians in Moldova; to host meetings with ministers and delegations from Moldova; and to inform and brief MPs and peers on the situation in the country.,Country Group,moldova
All-Party Parliamentary Group on Mongolia,To develop good relations between the UK and Mongolia.,Country Group,mongolia
British-Montserrat All-Party Parliamentary Group,To foster links between the UK and Montserrat and improve the quality of life of citizens of Montserrat.,Country Group,montserrat
All-Party Parliamentary Group on Morocco,"To promote good relations between the United Kingdom and the Kingdom of Morocco, particularly their respective parliamentary assemblies, within the framework of the Inter-Parliamentary Union.",Country Group,morocco
All-Party Parliamentary Group on Mozambique,To build a greater understanding in Parliament of Mozambique and its regional and international roles.,Country Group,mozambique
All-Party Parliamentary Group on Britain-Nepal,To encourage good relations between Britain and Nepal.,Country Group,nepal
Netherlands All-Party Parliamentary Group,To promote good relations between the parliaments and peoples of the UK and the Netherlands.,Country Group,netherlands
All-Party Parliamentary Group on Nigeria,To create a better understanding of issues relating to Nigeria; to promote links between Britain and Nigeria; and to support development and democracy in Nigeria.,Country Group,nigeria
United Kingdom-Norfolk Island All-Party Parliamentary Group,To promote and strengthen the historic ties between the people of the United Kingdom of Great Britain & Northern Ireland and the people of Norfolk Island.,Country Group,norfolk-island
All-Party Parliamentary Group for North Korea,"To formulate solutions that promote and support human rights, democracy and security in the Democratic People's Republic of Korea; to establish relations with the exiled North Korean community to foster understanding of the DPRK and the challenges which face its people; and to explore meaningful relations between the parliaments of the UK and the DPRK.",Country Group,north-korea
All-Party Parliamentary British-Norwegian Group,To promote relations between Britain and Norway,Country Group,norway
All-Party Parliamentary Group on Oman,To promote further understanding and good relations between the United Kingdom and the Sultanate of Oman.,Country Group,oman
United Kingdom Overseas Territories All-Party Parliamentary Group,To foster good relations between the British Overseas Territories and Parliament.,Country Group,overseas-territories
British-Pacific Islands All-Party Parliamentary Group,To encourage political interest in the South Pacific and to meet with politicians from that area who are visiting the UK.,Country Group,pacific-islands
All-Party Parliamentary Group on Pakistan,To provide a forum to discuss all matters related to Pakistan and also pertinent issues related to Pakistanis living in the UK.,Country Group,pakistan
Britain-Palestine All-Party Parliamentary Group,To foster good relations and understanding between Britain and Palestine and to promote a just and lasting peace in the Middle East.,Country Group,palestine
All-Party Parliamentary Group for the Philippines,To foster relations between the UK and the Philippines.,Country Group,philippines
Pitcairn Islands All-Party Parliamentary Group,To promote the Pitcairn Islands as a British overseas territory.,Country Group,pitcairn-islands
All-Party Parliamentary Group on Poland,To foster the good relationship between Poland and the UK and to promote the Polish contribution to the UK.,Country Group,poland
All-Party Parliamentary Group for Polar Regions (Arctic and Antarctic),To inform parliamentarians on all matters relating to the Arctic and Antarctic regions.,Country Group,polar-regions-arctic-and-antarctic
All-Party Parliamentary Group on Portugal,To foster relations between and understanding of the issues concerning the United Kingdom and Portugal.,Country Group,portugal
All-Party Parliamentary British-Qatar Group,To foster good relations between the UK and Qatar.,Country Group,qatar
All-Party Parliamentary Group for Romania,To promote better relations between the UK and Romania and between their parliaments.,Country Group,romania
All-Party Parliamentary Group on Russia,To foster good relations between the UK and the Russian Federation.,Country Group,russia
All-Party Parliamentary Group on Saudi Arabia,"To encourage and develop diplomatic, cultural and social exchanges between the Royal Kingdom of Saudi Arabia and the UK with the aim of achieving greater understanding and fostering mutual respect.",Country Group,saudi-arabia
All-Party Parliamentary Group for Serbia,To promote political and cultural relations between the UK and Serbia and further each government's understanding of the other.,Country Group,serbia
All-Party Parliamentary Group on Singapore,To promote and advance relations with Singapore.,Country Group,singapore
All-Party Parliamentary British-Slovenia Group,To strengthen ties between Britain and Slovenia and celebrate our cultural and political heritage.,Country Group,slovenia
All-Party Parliamentary Group on Somaliland,"To promote understanding of and support for Somaliland's achievements in building peace, democratic governance and a sovereign state in the Horn of Africa, its important role in combatting terrorism and piracy in the region and beyond, and the need for continued UK assistance for Somaliland's development.",Country Group,somaliland
All-Party Parliamentary Group on South Africa,"To improve links between the UK and South African Parliaments, and provide a forum for discussion of South Africa in the UK Parliament.",Country Group,south-africa
British-Spanish All-Party Parliamentary Group,To promote good relations between the parliaments and peoples of the UK and Spain.,Country Group,spain
All-Party Parliamentary Group on Sri Lanka,To further Anglo-Sri Lankan relations.,Country Group,sri-lanka
St Helena All-Party Parliamentary Group,To promote and support St Helena as a UK overseas territory.,Country Group,st-helena
All-Party Parliamentary Group for Sudan,To create a better understanding of issues relating to Sudan and build bilateral relationships between Sudan and the UK.,Country Group,sudan
All-Party Parliamentary Group for Sudan and South Sudan,"To influence the UK government's policy and practice by promoting the cause of peace, human rights, justice and development for all the people of Sudan and South Sudan across the political spectrum in Westminster and Whitehall.",Country Group,sudan-and-south-sudan
British-Swedish All-Party Parliamentary Group,"To promote relations between Britain and Sweden, their parliaments and people.",Country Group,sweden
All-Party British-Swiss Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Country Group,switzerland
All-Party Parliamentary Group on Syria,To improve understanding of Syria among UK parliamentarians and provide a forum for discussion.,Country Group,syria
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Country Group,taiwan
British-Tajikstan All-Party Parliamentary Group,To build relations between the UK and Tajikistan.,Country Group,tajikstan
All-Party Parliamentary Group on Tanzania,To bring together members of both Houses of Parliament to discuss issues relating to Tanzania.,Country Group,tanzania
All-Party Parliamentary Group on Thailand,To improve understanding of Thailand by UK parliamentarians and improve links between the UK and Thailand.,Country Group,thailand
All-Party Parliamentary Group for Tibet,"To put pressure on Her Majesty's Government to encourage negotiations between the Chinese Government and representatives of the Tibetan Government in exile, whilst recognising that Tibet is an occupied country which had independent links with Britain.",Country Group,tibet
All-Party Parliamentary Group for Turkey,To foster and promote former relations between the UK and Turkey and assist in public awareness of the developments that have been taking place in Turkey.,Country Group,turkey
All-Party Parliamentary Group on Turkmenistan,To further understanding in the UK about Turkmenistan and build the bilateral relationship between Turkmenistan and the UK.,Country Group,turkmenistan
All-Party Parliamentary Uganda Group,To monitor issues regarding Uganda,Country Group,uganda
All-Party Parliamentary Group on Ukraine,To build relations between the UK and the Ukraine.,Country Group,ukraine
United Kingdom-United Arab Emirates All-Party Parliamentary Group,To promote good relations between the United Kingdom and the United Arab Emirates.,Country Group,united-arab-emirates
All-Party Parliamentary Group for Uzbekistan,"To develop good relations between the people, legislatures and governments of our two countries.",Country Group,uzbekistan
All-Party Parliamentary Group for Vietnam,"To conduct a dialogue with the socialist republic of Vietnam, in particular with the Vietnamese National Assembly and the Vietnamese ambassador and embassy in London, and to take an interest in the Vietnamese community in the UK.",Country Group,vietnam
All-Party Parliamentary Group on West Papua,To promote understanding of the situation in West Papua and the human rights of the West Papuan people.,Country Group,west-papua
All-Party Parliamentary Group on Western Sahara,"To promote issues of mutual concern between British MPs and the Western Sahara, and ensure the subject is never far from the political agenda of the UK Parliament.",Country Group,western-sahara
All-Party Parliamentary Group on Yemen,To promote a greater understanding of the country of Yemen and encourage Anglo-Yemeni relations.,Country Group,yemen
All-Party Parliamentary Group on Zimbabwe,To support democratic governance in Zimbabwe and to foster good relations between Zimbabwe and the UK.,Country Group,zimbabwe
All-Party Parliamentary Group for 14-19 Education,"Raising awareness of the benefits of, and challenges in, establishing high quality 14-19 education.",Subject Group,14-19-education
All-Party Parliamentary Group for 22q11 Syndrome,"To increase recognition and understanding of the Syndrome across policy makers and the medical profession. Eventually aiming for, once diagnosed, life-long health strategy for suffers.",Subject Group,22q11-syndrome
All-Party Parliamentary Group for Abused and Neglected Children,To raise the profile of abused and neglected children in Parliament and to investigate policy matters and receive briefings from experts.,Subject Group,abused-and-neglected-children
All-Party Parliamentary Group for Adult Education,"To investigate the impact of adult education on the social, economic and cultural wellbeing of the UK.",Subject Group,adult-education
All-Party Parliamentary Group on Aerospace,To promote awareness of all aspects of the British aerospace sector in parliament and government.,Subject Group,aerospace
All-Party Parliamentary Group for Ageing and Older People,To focus on current political and legislative issues before Parliament which affect people in later life.,Subject Group,ageing-and-older-people
All-Party Parliamentary Group on Agriculture and Food for Development,"To facilitate informed debate on food, agriculture and nutrition in the UK Parliament and engage with DfID, other donors and national governments on these issues.",Subject Group,agriculture-and-food-for-development
All-Party Parliamentary Group on Agroecology for Sustainable Food and Farming,"Providing a forum for parliamentarians, leading academics, farmers and NGOs to look at how agroecological food and farming principles can offer economic viability and promote long-term environmental protection. By combining 21st century science with traditional farming techniques and knowledge the APPG promotes a food chain for the 21st century.",Subject Group,agroecology-for-sustainable-food-and-farming
All-Party Parliamentary Group for the Ahmadiyya Muslim Community,To promote in Parliament the Ahmadiyya Muslim community and advance their interests in the UK and abroad.,Subject Group,ahmadiyya-muslim-community
All-Party Parliamentary Group for Air Ambulances,Raising the quality of care and effectiveness of air ambulances for patients through engagement with political leaders and policy makers; improving understanding of air operations and pre-hospital care to deliver a world class service and continually improve patient outcomes; promoting best practice; and highlighting issues and opportunities with policy makers.,Subject Group,air-ambulances
All-Party Parliamentary Group on Air Pollution,"To examine evidence on the causes, trends and health effects of air pollution; to raise awareness about the impact of air pollution; and to promote practical solutions to poor air quality.",Subject Group,air-pollution
All-Party Parliamentary Group on Alcohol Harm,To promote discussion of alcohol related issues and to raise issues of concern and make recommendations to government and other policy makers.,Subject Group,alcohol-harm
All-Party Parliamentary Group for Alevis,"To recognise the important contribution that the Alevi community makes to British society. The group's aim is to ensure that British Alevis are represented in Parliament by giving them a platform to express their legitimate socio-political aspirations, ensuring that they achieve recognition for their rights and religion in Britain and overseas.",Subject Group,alevis
All-Party Parliamentary Group for Allergy,To raise awareness of allergic disease; to provide a forum for MPs and Peers to discuss allergy and related issues; and to work towards a better deal for those living with allergy.,Subject Group,allergy
All-Party Parliamentary Group for Almshouses,"To raise awareness of the issues affecting almshouse charities amongst Members of the House of Lords and House of Commons, and to promote the continuance, strengthening and development of almshouse charities throughout the UK.",Subject Group,almshouses
All-Party Parliamentary Group on Alternative Dispute Resolution,To help change the culture of Alternative Dispute Resolution (ADR) in the country by providing a valuable forum within Parliament to discuss the latest development in ADR and to promote its wider use.,Subject Group,alternative-dispute-resolution
All-Party Parliamentary Group on Alternative Investment Management,Raising awareness of the sector and its contribution to the UK economy; providing a forum to discuss development in investment strategy and the corresponding impact on UK pension endowments and direct lending; supporting the development of an effective and proportionate UK regulatory regime governing the industry.,Subject Group,alternative-investment-management
All-Party Parliamentary Group on Alternative Lending,"To help legislators keep pace with a rapidly evolving sector, and help understand the effects of change both on employers and consumers. It will also provide somewhere where MPs and Peers can talk directly to lenders and help to make sure this market develops in harmony with broader policy approach.",Subject Group,alternative-lending
All-Party Parliamentary Group for the UK Aluminium Industry,To work with the Aluminium Federation (The UK Aluminium Industry's Trade Association) to represent the UK Aluminium Industry.,Subject Group,aluminium-industry
All-Party Parliamentary Group for American Football,To promote participation and interest in American football in the United Kingdom.,Subject Group,american-football.
All-Party Parliamentary Group on Ancient Woodland and Veteran Trees,To raise awareness of the UK’s unique and irreplaceable ancient woodland habitat; to discuss the threats it faces and steps necessary to protect it; and to discuss how to better value and protect the nation’s veteran and special trees.,Subject Group,ancient-woodland-and-veteran-trees
All-Party Parliamentary Group on Angling,To promote angling and conservation.,Subject Group,angling
All-Party Parliamentary Group for Animal Welfare,To promote and further the cause of animal welfare in Parliament by raising issues of concern and suggesting policy solutions.,Subject Group,animal-welfare
All-Party Parliamentary Group on Antibiotics,"To raise the profile of and keep MPs and Peers informed about antibiotic resistance and of new treatments. To raise the profile of the need to preserve antibiotics through education on their appropriate use, including non-human uses. To accelerate efforts to discover, research and develop new treatments including new drugs",Subject Group,antibiotics
All-Party Parliamentary Group for Anti-Epileptic Drugs in Pregnancy,To raise Government awareness of the dangers of Anti-Epileptic Drugs (AEDs) in pregnancy and to support and advocate for those harmed by the drugs taken by the mother in pregnancy.,Subject Group,anti-epileptic-drugs-in-pregnancy
All-Party Parliamentary Group Against Antisemitism,To combat antisemitism and help develop and seek implementation of effective public policy to combat antisemitism.,Subject Group,antisemitism
All-Party Parliamentary Group for Apprenticeships,"To provide a forum for parliamentarians and employers to discuss how to promote the role of high quality apprenticeships, how to ensure that apprenticeships serve as a pathway to a career and how the apprenticeship model can meet the changing skill demands from businesses.",Subject Group,apprenticeships
All-Party Parliamentary Archaeology Group,To further the understanding of archaeology and promote archaeology and archaeological education.,Subject Group,archaeology
All-Party Parliamentary Group on Archives and History,"Promotion and awareness of the archives sector, history and related issues, including history in education and promoting a history lecture series in Parliament.",Subject Group,archives-and-history
All-Party Parliamentary Group for the Armed Forces,To promote better understanding of Her Majesty's Armed Forces in Parliament.,Subject Group,armed-forces
All-Party Parliamentary Group on the Armed Forces Covenant,To inform parliamentarians on all aspects of the Armed Forces Covenant and its implementation.,Subject Group,armed-forces-covenant
All-Party Parliamentary Group on Arrhythmias,"To raise awareness of arrhythmias (heart rhythm disorders) that affect over 2 million people in the UK. To ensure appropriate access to diagnosis, management and treatment is provided equitably, to reduce the number of unnecessary deaths and co-morbidities.",Subject Group,arrhythmias
"All-Party Parliamentary Group for Art, Craft and Design in Education","The group believes that art, craft and design education is essential to the economy and to the cultural, spiritual, creative and social wellbeing of all; that it empowers individuals, enabling them to engage with our rich visual and cultural heritage, express themselves and become visually literate and perceptive, and that access to high quality art, craft and design education is an entitlement for everyone.",Subject Group,art-craft-and-design-in-education
All-Party Parliamentary Group on Artificial Intelligence,To explore the impact and implications of artificial intelligence including machine learning.,Subject Group,artificial-intelligence
The All-Party Parliamentary Arts and Heritage Group,To promote interest in the Arts and Heritage at Westminster.,Subject Group,arts-and-heritage
"All-Party Parliamentary Group on Arts, Health and Wellbeing","To enable backbench parliamentarians, of all parties and from both Houses, to be informed about significant practice in the field of arts, health and wellbeing; to provide a springboard for parliamentary action, such as debates and questions for oral and written answer and make policy recommendations.",Subject Group,arts-health-and-wellbeing
All-Party Parliamentary Group for Assistive Technology,"To disseminate knowledge, generate debate and facilitate engagement on assistive technology amongst Members of both Houses of Parliament.",Subject Group,assistive-technology
All-Party Parliamentary Group on Atrial Fibrillation,"To raise awareness of atrial fibrillation (AF) and ensure the diagnosis, management and treatment of AF is a priority of the NHS. To improve detection and management of AF in accordance with proven best practice.",Subject Group,atrial-fibrillation
All-Party Parliamentary Group on Autism,"To raise awareness of issues affecting people with autism and Asperger syndrome, their families and carers; to raise parliamentary awareness of autism; to campaign for changes to government policy to benefit people with autism and Asperger syndrome and improve diagnosis or support for people with autism and Asperger syndrome.",Subject Group,autism
All-Party Parliamentary Group for Aviation,"To encourage interest in aviation and to arrange meetings and briefings on aviation with airlines, airports, the Civil Aviation Authority, trade unions and other relevant organisations and individuals.",Subject Group,aviation
All-Party Parliamentary Group on Baby Loss,"To develop policy that supports families dealing with the grief and loss of a baby, and to raise awareness of what more can be done by the government, Parliament or other agencies to help those affected.",Subject Group,baby-loss
All-Party Parliamentary Group on the Bahá'í Faith,"To raise awareness on the Bahá'í faith and the efforts of the Bahá'í community to contribute to British society, and to seek action in respect of the persecution of Bahá'ís in Iran and other instances where Bahá'ís are subject to discrimination on the grounds of their faith",Subject Group,bahai
All-Party Parliamentary Group for Basketball,To promote the development of the sport of basketball at all levels in the UK.,Subject Group,basketball
All-Party Parliamentary BBC Group,"To encourage debate and engage in discussion about all elements of the BBC, including the BBC world service and the BBC’s role within the creative industries.",Subject Group,bbc
All-Party Parliamentary Beer Group,"To promote the wholesomeness and enjoyment of beer and the unique role of the pub in UK society; to increase understanding of the social, cultural and historic role of brewing and pubs in the UK and their value to tourism; to broaden recognition of the contribution of brewing and pubs to employment and to the UK's economy; to promote understanding of the social responsibility exercised by the brewing and pub industries; to support the UK's brewing industry worldwide.",Subject Group,beer
All-Party Parliamentary Group for Bees,"To inform parliamentarians about bees, other pollinators and beekeeping and to campaign and raise awareness of impacted issues.",Subject Group,bees
All-Party Parliamentary Group for Best Brexit,To explore options for the best Brexit deal for the UK.,Subject Group,best-brexit
All-Party Parliamentary Group on a Better Brexit for Young People,"To develop relationships between young people and parliamentarians, in order to secure a better Brexit for young people. Young people will live with the outcome of Brexit the longest and therefore should have a voice in how the negotiations are shaped.",Subject Group,better-brexit-for-young-people
All-Party Parliamentary Betting and Gaming Group,To act as a forum for the discussion of issues concerning betting and gaming in the UK.,Subject Group,betting-and-gaming
All-Party Parliamentary Group on Bingo,To represent the interests of the bingo industry in Parliament.,Subject Group,bingo
All-Party Parliamentary Group on Biomass,"To explore all aspects of biomass use for the production of renewable energy, including sustainability criteria, environmental impact, logistics, farming, forestry and its efficiency as a source of energy.",Subject Group,biomass
All-Party Parliamentary Group on Blood Cancer,"To raise awareness and promote the needs of blood cancer patients with parliamentarians, government, NHS, and charity stakeholders, create a forum for broader issues affecting blood cancer patients, and ensure policies affecting blood cancer patients, their families and carers are patient-centred and evidence-based.",Subject Group,blood-cancer
All-Party Parliamentary Group on Blood Donation,To encourage the safe donation of blood in the UK and to represent stakeholders in reviews into blood donation criteria.,Subject Group,blood-donation
